"1" "2" "3"
"二月" 0.000735647663870664 0.000615912082886187 0
"二忖" 0.00199324565171388 0 0
"二編" 0.000122607943978444 5.13260069071823e-05 0
"人工" 0.000122607943978444 5.13260069071823e-05 0
"人工成本" 0.000332207608618981 0 0
"八日" 0.000122607943978444 0.000102652013814365 0
"八存" 0.000122607943978444 5.13260069071823e-05 0
"十七" 0.000245215887956888 0.000102652013814365 0
"十二個" 0.000490431775913776 0.000205304027628729 0
"十三號" 0.000122607943978444 5.13260069071823e-05 0
"十井" 0.000332207608618981 0 0
"十五" 0.000122607943978444 0.000153978020721547 0
"十六" 0.000122607943978444 0.000102652013814365 0
"十月" 0.000122607943978444 5.13260069071823e-05 0
"十巧" 0.000332207608618981 0 0
"三十" 0.001103471495806 0.000769890103607734 0
"三日" 0.000332207608618981 0 0
"三吉" 0.000332207608618981 0 0
"三式" 0.000664415217237961 0 0
"三戎" 0.000332207608618981 0 0
"三托" 0.00061303971989222 0.000256630034535911 0
"三托袤" 0.000245215887956888 5.13260069071823e-05 0
"三曳" 0.000664415217237961 0 0
"下切" 0.000122607943978444 5.13260069071823e-05 0
"下表索列" 0.000332207608618981 0 0
"下間" 0.000332207608618981 0 0
"上市" 0.000122607943978444 0 0.000145026032160941
"上述情況" 0.000332207608618981 0 0
"上櫃" 0.000122607943978444 0 0.000290052064321882
"大於" 0.000122607943978444 0.000256630034535911 0
"大維" 0.000332207608618981 0 0
"大增" 0.000332207608618981 0 0
"工具" 0.00122607943978444 0.000667238089793369 0
"工潮" 0.000332207608618981 0 0
"已五" 0.000122607943978444 5.13260069071823e-05 0
"已尼" 0.000122607943978444 5.13260069071823e-05 0
"已妞偵" 0.000122607943978444 5.13260069071823e-05 0
"已於" 0.000122607943978444 5.13260069071823e-05 0
"已達成" 0.000122607943978444 5.13260069071823e-05 0
"不予" 0.000122607943978444 5.13260069071823e-05 0
"不五" 0.000122607943978444 5.13260069071823e-05 0
"不尼" 0.000122607943978444 5.13260069071823e-05 0
"不布" 0.000122607943978444 0.000153978020721547 0
"不具" 0.000122607943978444 5.13260069071823e-05 0
"不致" 0.000332207608618981 0 0
"不重" 0.000122607943978444 5.13260069071823e-05 0
"不能" 0.000122607943978444 5.13260069071823e-05 0
"不楣" 0.000122607943978444 5.13260069071823e-05 0
"不影" 0.000332207608618981 0 0
"不償付" 0.000122607943978444 5.13260069071823e-05 0
"不瞻" 0.000122607943978444 0.000102652013814365 0
"中有" 0.000332207608618981 0 0
"中實" 0.000122607943978444 5.13260069071823e-05 0
"中膝" 0.000332207608618981 0 0
"丰忖" 0.000332207608618981 0 0
"丰朱" 0.000332207608618981 0 0
"丰憎" 0.000122607943978444 5.13260069071823e-05 0
"丹麥" 0.000332207608618981 0 0
"之子公" 0.000122607943978444 5.13260069071823e-05 0
"之丑" 0.000122607943978444 0 0.000217539048241412
"之互" 0.000122607943978444 5.13260069071823e-05 0
"之互抵" 0.000122607943978444 5.13260069071823e-05 0
"之仇" 0.000367823831935332 0.000153978020721547 0
"之內" 0.000122607943978444 5.13260069071823e-05 0
"之支" 0.000122607943978444 5.13260069071823e-05 0
"之日" 0.000245215887956888 0.000102652013814365 0
"之日超" 0.000332207608618981 0 0
"之旦" 0.000490431775913776 0.000256630034535911 0
"之生" 0.000735647663870664 0.000307956041443094 0
"之忖" 0.000122607943978444 5.13260069071823e-05 0
"之戌活" 0.000332207608618981 0 0
"之金" 0.000122607943978444 5.13260069071823e-05 0
"之客" 0.000245215887956888 5.13260069071823e-05 0
"之約務" 0.000122607943978444 5.13260069071823e-05 0
"之原" 0.000122607943978444 5.13260069071823e-05 0
"之索" 0.000332207608618981 0 0
"之偽" 0.000245215887956888 0.000153978020721547 0
"之惚" 0.000332207608618981 0 0
"之掬" 0.00132883043447592 0 0
"之淨" 0.000122607943978444 0.000205304027628729 0
"之痕" 0.000122607943978444 0.000102652013814365 0
"之結" 0.000122607943978444 5.13260069071823e-05 0
"之買" 0.000122607943978444 5.13260069071823e-05 0
"之間" 0.000122607943978444 5.13260069071823e-05 0
"之楹" 0.000122607943978444 0.000153978020721547 0
"之維成" 0.000332207608618981 0 0
"之影" 0.000367823831935332 5.13260069071823e-05 0
"之編" 0.000122607943978444 5.13260069071823e-05 0
"之薯" 0.000122607943978444 5.13260069071823e-05 0
"予未" 0.000332207608618981 0 0
"予除" 0.000245215887956888 0.000102652013814365 0
"予該" 0.000122607943978444 0.000102652013814365 0
"予吨" 0.000122607943978444 5.13260069071823e-05 0
"互抵" 0.000367823831935332 0.000153978020721547 0
"五工" 0.000122607943978444 5.13260069071823e-05 0
"五路" 0.000122607943978444 5.13260069071823e-05 0
"仆金及" 0.000122607943978444 5.13260069071823e-05 0
"仍然" 0.000122607943978444 5.13260069071823e-05 0
"介筑" 0.000122607943978444 5.13260069071823e-05 0
"六十七" 0.000122607943978444 0.000102652013814365 0
"六三" 0.000122607943978444 5.13260069071823e-05 0
"六痕" 0.000122607943978444 5.13260069071823e-05 0
"公允" 0.00355563037537488 0.00236099631773038 0
"公告" 0.000122607943978444 0 0.000217539048241412
"公雲" 0.000245215887956888 0.000102652013814365 0
"公債" 0.000122607943978444 5.13260069071823e-05 0
"公課" 0.000122607943978444 5.13260069071823e-05 0
"分食" 0.000122607943978444 5.13260069071823e-05 0
"分配資源" 0.000122607943978444 5.13260069071823e-05 0
"分類" 0.00147129532774133 0.000667238089793369 0
"分攤" 0.00061303971989222 0.000256630034535911 0
"及本" 0.000122607943978444 5.13260069071823e-05 0
"及忖" 0.000122607943978444 5.13260069071823e-05 0
"及金管" 0.000122607943978444 5.13260069071823e-05 0
"及奏" 0.000122607943978444 5.13260069071823e-05 0
"及計畫" 0.000122607943978444 5.13260069071823e-05 0
"及假" 0.000245215887956888 5.13260069071823e-05 0
"及敏" 0.000332207608618981 0 0
"及陶" 0.00171651121569822 0.00184773624865856 0
"及揚" 0.000122607943978444 5.13260069071823e-05 0
"及筆" 0.000122607943978444 5.13260069071823e-05 0
"及腔" 0.000122607943978444 5.13260069071823e-05 0
"及費損" 0.000122607943978444 5.13260069071823e-05 0
"及課" 0.000122607943978444 5.13260069071823e-05 0
"及興櫃" 0.000332207608618981 0 0
"天內" 0.000122607943978444 5.13260069071823e-05 0
"巴西" 0.000332207608618981 0 0
"方可" 0.000332207608618981 0 0
"方法" 0.000490431775913776 0.000307956041443094 0
"日之旦" 0.000332207608618981 0 0
"日之法" 0.000122607943978444 5.13260069071823e-05 0
"日孕" 0.000122607943978444 5.13260069071823e-05 0
"日超" 0.000332207608618981 0 0
"日增" 0.000122607943978444 5.13260069071823e-05 0
"月者" 0.000122607943978444 5.13260069071823e-05 0
"欠缺" 0.000996622825856942 0 0
"且戌野幣" 0.000332207608618981 0 0
"主體" 0.000490431775913776 0.000205304027628729 0
"以奶妒" 0.000122607943978444 5.13260069071823e-05 0
"以奶妨" 0.000122607943978444 5.13260069071823e-05 0
"以左" 0.000122607943978444 5.13260069071823e-05 0
"以前" 0.000367823831935332 0.000153978020721547 0
"以淨" 0.000122607943978444 5.13260069071823e-05 0
"以筍" 0.000122607943978444 5.13260069071823e-05 0
"以新" 0.000122607943978444 5.13260069071823e-05 0
"付款" 0.000490431775913776 0.000256630034535911 0
"充足" 0.000122607943978444 5.13260069071823e-05 0
"出於" 0.000367823831935332 0.000153978020721547 0
"出租" 0.000122607943978444 0.000153978020721547 0
"可戌" 0.000122607943978444 5.13260069071823e-05 0
"可戌洩" 0.000735647663870664 0.000256630034535911 0
"可行性" 0.000122607943978444 0.000102652013814365 0
"可供使用" 0.000490431775913776 0.000205304027628729 0
"可度" 0.000332207608618981 0 0
"可辨" 0.000490431775913776 0.000359282048350276 0
"司內" 0.000122607943978444 5.13260069071823e-05 0
"司時" 0.000122607943978444 5.13260069071823e-05 0
"另企" 0.000122607943978444 5.13260069071823e-05 0
"另池" 0.000122607943978444 0 7.25130160804706e-05
"失及" 0.000122607943978444 5.13260069071823e-05 0
"失為" 0.000332207608618981 0 0
"奶妨" 0.000122607943978444 5.13260069071823e-05 0
"孕奐" 0.000122607943978444 5.13260069071823e-05 0
"它本" 0.000332207608618981 0 0
"市場需求" 0.000245215887956888 0.000153978020721547 0
"布及" 0.000122607943978444 0.000153978020721547 0
"布建產奕計" 0.000122607943978444 5.13260069071823e-05 0
"平均法" 0.000122607943978444 5.13260069071823e-05 0
"平淡" 0.000332207608618981 0 0
"必要" 0.000122607943978444 0.000102652013814365 0
"必須" 0.000122607943978444 0.000153978020721547 0
"本金" 0.000122607943978444 5.13260069071823e-05 0
"未指定" 0.000122607943978444 5.13260069071823e-05 0
"未實" 0.000122607943978444 5.13260069071823e-05 0
"未實眺" 0.000122607943978444 5.13260069071823e-05 0
"正惇" 0.000122607943978444 5.13260069071823e-05 0
"正推" 0.000245215887956888 0.000102652013814365 0
"生效" 0.000122607943978444 5.13260069071823e-05 0
"生效日" 0.000367823831935332 0.000205304027628729 0
"用以" 0.000245215887956888 0.000102652013814365 0
"用皮" 0.000332207608618981 0 0
"由同" 0.000122607943978444 5.13260069071823e-05 0
"石油價格" 0.000332207608618981 0 0
"示器" 0.00134868738376288 0 0.000145026032160941
"立即" 0.00061303971989222 0.000153978020721547 0
"立法" 0.000245215887956888 0.000102652013814365 0
"交易日" 0.000367823831935332 0.000153978020721547 0
"交易成本" 0.000367823831935332 0.000205304027628729 0
"交換" 0.000122607943978444 5.13260069071823e-05 0
"亦然" 0.000122607943978444 5.13260069071823e-05 0
"任何" 0.00183911915967666 0.000718564096700552 0
"企椰" 0.000490431775913776 0.000256630034535911 0
"企楨" 0.000367823831935332 0.000153978020721547 0
"企榆" 0.000122607943978444 5.13260069071823e-05 0
"企歇" 0.000122607943978444 0.000102652013814365 0
"先前" 0.000490431775913776 0.000256630034535911 0
"全托" 0.000122607943978444 0.000102652013814365 0
"全面" 0.000122607943978444 5.13260069071823e-05 0
"全國性" 0.000122607943978444 5.13260069071823e-05 0
"列入" 0.000735647663870664 0.000307956041443094 0
"列於" 0.000122607943978444 0.000205304027628729 0
"列報" 0.00061303971989222 0.000359282048350276 0
"同仁" 0.000122607943978444 5.13260069071823e-05 0
"同步" 0.000332207608618981 0 0
"各號" 0.000122607943978444 5.13260069071823e-05 0
"合宜" 0.000122607943978444 5.13260069071823e-05 0
"合約" 0.000858255607849108 0.000410608055257458 0
"合格" 0.000122607943978444 5.13260069071823e-05 0
"合資" 0.000122607943978444 5.13260069071823e-05 0
"地點" 0.000245215887956888 0.000102652013814365 0
"存在" 0.000245215887956888 0.000102652013814365 0
"存有" 0.000122607943978444 0.000102652013814365 0
"忖誘" 0.000122607943978444 0.000102652013814365 0
"戎月" 0.000332207608618981 0 0
"戎幣" 0.000332207608618981 0 0
"成型" 0.000664415217237961 0 0
"成為" 0.000122607943978444 0.000102652013814365 0
"成鋮" 0.000122607943978444 5.13260069071823e-05 0
"扛庚" 0.000490431775913776 0.000102652013814365 0
"收忖" 0.000122607943978444 0.000102652013814365 0
"收收" 0.000332207608618981 0 0
"收旨" 0.000122607943978444 5.13260069071823e-05 0
"收取" 0.000367823831935332 0.000256630034535911 0
"收益" 0.000245215887956888 0.000256630034535911 0
"收購" 0.000490431775913776 0.000410608055257458 0
"收購方" 0.000332207608618981 0 0
"早者" 0.000122607943978444 5.13260069071823e-05 0
"旬嚏" 0.000332207608618981 0 0
"曲艦" 0.000122607943978444 5.13260069071823e-05 0
"有旦" 0.000332207608618981 0 0
"有利" 0.000122607943978444 0.000153978020721547 0
"有所" 0.000122607943978444 0.000102652013814365 0
"有闊" 0.000332207608618981 0 0
"此央" 0.000664415217237961 0 0
"此未" 0.000122607943978444 5.13260069071823e-05 0
"此項" 0.000367823831935332 0.000153978020721547 0
"此類" 0.000490431775913776 0.000205304027628729 0
"百分比" 0.000245215887956888 5.13260069071823e-05 0
"而定" 0.000122607943978444 5.13260069071823e-05 0
"自建" 0.000122607943978444 5.13260069071823e-05 0
"自達" 0.000122607943978444 5.13260069071823e-05 0
"至少" 0.000122607943978444 5.13260069071823e-05 0
"至仟元" 0.000122607943978444 0 7.25130160804706e-05
"至托鬮" 0.000122607943978444 5.13260069071823e-05 0
"至非" 0.000122607943978444 5.13260069071823e-05 0
