"","1","2","3","4","5","6"
"3e31",0.000266113721756982,0.000284845427109616,0.000726918632653479,0.000423490098837951,0.00189401089832686,0
"3e33",7.60324919305662e-05,8.13844077456045e-05,8.81113494125429e-05,0.000188217821705756,8.7415887615086e-05,0
"3e34",0.000722308673340379,0.000732459669710441,2.20278373531357e-05,0.000235272277132195,0.000145693146025143,0
"3e35",8.45443706780107e-05,9.04954363739412e-05,0,0.000209288909023669,0.000259205716504334,0
"3e61",3.80162459652831e-05,4.06922038728023e-05,2.20278373531357e-05,0.000329381187985073,0.000174831775230172,0
"613c",0.000342146213687548,0.00036622983485522,0.000859085656772294,0.00117636138566097,0.0033509423585783,0
"653c",3.80162459652831e-05,4.06922038728023e-05,4.40556747062715e-05,0.0010822524748081,0.000262247662845258,0
"663c",0.000722308673340379,0.000732459669710441,2.20278373531357e-05,0.00047054455426439,0.000932436134560917,0
"aai",0.000169088741356021,0.000180990872747882,4.89877314061767e-05,0,6.48014291260835e-05,0
"act",0.000229073926972273,0.000245198406670971,0,0,0,0
"aillie",0.000229073926972273,0.000245198406670971,0,0,0,0
"aimur",0.000229073926972273,0.000245198406670971,0,0,0,0
"aircraft",0.000373603483266535,0,0,0,0,0
"alcon",0.000289059112588524,0.000309405940594059,0.000837450799765514,0,0,0
"all",8.45443706780107e-05,9.04954363739412e-05,9.79754628123534e-05,0,6.48014291260835e-05,0
"allen",0.000229073926972273,0.000245198406670971,0,0,0,0
"alliance",0.000229073926972273,0.000245198406670971,0,0,0,0
"alulah",0.000229073926972273,0.000245198406670971,0,0,0,0
"and",8.45443706780107e-05,9.04954363739412e-05,0.000195950925624707,0,0.000259205716504334,0
"app",0.000373603483266535,0,0,0,0,0
"apua",0.000229073926972273,0.000245198406670971,0,0,0,0
"arman",0.000229073926972273,0.000245198406670971,0,0,0,0
"arren",0.000229073926972273,0.000245198406670971,0,0,0,0
"artha",0.000229073926972273,0.000245198406670971,0,0,0,0
"artificial",0.000458147853944546,0.000490396813341942,0,0,0,0
"asa",0.000144529556294262,0.00015470297029703,0.000334980319906205,0,0,0
"astra",0.000144529556294262,0.00015470297029703,0.000167490159953103,0,0,0
"ational",0.000229073926972273,0.000245198406670971,0,0,0,0
"attenborough",0.000229073926972273,0.000245198406670971,0,0,0,0
"authority",0.000458147853944546,0.000490396813341942,0,0,0,0
"autilus",0.000229073926972273,0.000245198406670971,0,0,0,0
"automotive",0.000229073926972273,0.000245198406670971,0,0,0,0
"autopilot",3.80162459652831e-05,4.06922038728023e-05,4.40556747062715e-05,4.7054455426439e-05,0.000670188471715659,0
"ave",8.45443706780107e-05,9.04954363739412e-05,9.79754628123534e-05,0.000104644454511835,0,0
"avid",0.000144529556294262,0.00015470297029703,8.37450799765514e-05,0,0,0
"avin",0.000229073926972273,0.000245198406670971,0,0,0,0
"avip",0.000229073926972273,0.000245198406670971,0,0,0,0
"aypal",0.000458147853944546,0.000490396813341942,0,0,0,0
"azorian",0.000229073926972273,0.000245198406670971,0,0,0,0
"baig",0.000229073926972273,0.000245198406670971,0,0,0,0
"basket",0.000229073926972273,0.000245198406670971,0,0,0,0
"bbc",0.00130076600664836,0.00123762376237624,8.37450799765514e-05,0,0,0
"bcis",0.000229073926972273,0.000245198406670971,0,0,0,0
"belts",0.000229073926972273,0.000245198406670971,0,0,0,0
"bezos",0.000458147853944546,0.000490396813341942,0,0,0,0
"bill",0.000229073926972273,0.000245198406670971,0,0,0,0
"biotechnology",0.000229073926972273,0.000245198406670971,0,0,0,0
"branson",0.000229073926972273,0.000245198406670971,0,0,0,0
"brin",0.000144529556294262,0.00015470297029703,0,0.000178890876565295,0,0
"bub",0.000229073926972273,0.000245198406670971,0,0,0,0
"buffett",0.000229073926972273,0.000245198406670971,0,0,0,0
"buzzfeed",0.000458147853944546,0.000490396813341942,0,0,0,0
"calling",0.000229073926972273,0.000245198406670971,0,0,0,0
